#,Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
1,Bulbasaur,45,49,49,65,65,45
2,Ivysaur,60,62,63,80,80,60
3,Venusaur,80,82,83,100,100,80
4,Mega Venusaur,80,100,123,122,120,80
5,Charmander,39,52,43,60,50,65
6,Charmeleon,58,64,58,80,65,80
7,Charizard,78,84,78,109,85,100
8,Mega Charizard X,78,130,111,130,85,100
9,Mega Charizard Y,78,104,78,159,115,100
10,Squirtle,44,48,65,50,64,43
11,Wartortle,59,63,80,65,80,58
12,Blastoise,79,83,100,85,105,78
13,Mega Blastoise,79,103,120,135,115,78
14,Caterpie,45,30,35,20,20,45
15,Metapod,50,20,55,25,25,30
16,Butterfree,60,45,50,90,80,70
17,Weedle,40,35,30,20,20,50
18,Kakuna,45,25,50,25,25,35
19,Beedrill,65,90,40,45,80,75
20,Mega Beedrill,65,150,40,15,80,145
21,Pidgey,40,45,40,35,35,56
22,Pidgeotto,63,60,55,50,50,71
23,Pidgeot,83,80,75,70,70,101
24,Mega Pidgeot,83,80,80,135,80,121
25,Rattata,30,56,35,25,35,72
26,Raticate,55,81,60,50,70,97
27,Spearow,40,60,30,31,31,70
28,Fearow,65,90,65,61,61,100
29,Ekans,35,60,44,40,54,55
30,Arbok,60,85,69,65,79,80
31,Pikachu,35,55,40,50,50,90
32,Raichu,60,90,55,90,80,110
33,Sandshrew,50,75,85,20,30,40
34,Sandslash,75,100,110,45,55,65
35,Nidoran♀,55,47,52,40,40,41
36,Nidorina,70,62,67,55,55,56
37,Nidoqueen,90,92,87,75,85,76
38,Nidoran♂,46,57,40,40,40,50
39,Nidorino,61,72,57,55,55,65
40,Nidoking,81,102,77,85,75,85
41,Clefairy,70,45,48,60,65,35
42,Clefable,95,70,73,95,90,60
43,Vulpix,38,41,40,50,65,65
44,Ninetales,73,76,75,81,100,100
45,Jigglypuff,115,45,20,45,25,20
46,Wigglytuff,140,70,45,85,50,45
47,Zubat,40,45,35,30,40,55
48,Golbat,75,80,70,65,75,90
49,Oddish,45,50,55,75,65,30
50,Gloom,60,65,70,85,75,40
51,Vileplume,75,80,85,110,90,50
52,Paras,35,70,55,45,55,25
53,Parasect,60,95,80,60,80,30
54,Venonat,60,55,50,40,55,45
55,Venomoth,70,65,60,90,75,90
56,Diglett,10,55,25,35,45,95
57,Dugtrio,35,80,50,50,70,120
58,Meowth,40,45,35,40,40,90
59,Persian,65,70,60,65,65,115
60,Psyduck,50,52,48,65,50,55
61,Golduck,80,82,78,95,80,85
62,Mankey,40,80,35,35,45,70
63,,65,105,60,60,70,95
64,Growlithe,55,70,45,70,50,60
65,Arcanine,90,110,80,100,80,95
66,Poliwag,40,50,40,40,40,90
67,Poliwhirl,65,65,65,50,50,90
68,Poliwrath,90,95,95,70,90,70
69,Abra,25,20,15,105,55,90
70,Kadabra,40,35,30,120,70,105
71,Alakazam,55,50,45,135,95,120
72,Mega Alakazam,55,50,65,175,95,150
73,Machop,70,80,50,35,35,35
74,Machoke,80,100,70,50,60,45
75,Machamp,90,130,80,65,85,55
76,Bellsprout,50,75,35,70,30,40
77,Weepinbell,65,90,50,85,45,55
78,Victreebel,80,105,65,100,70,70
79,Tentacool,40,40,35,50,100,70
80,Tentacruel,80,70,65,80,120,100
81,Geodude,40,80,100,30,30,20
82,Graveler,55,95,115,45,45,35
83,Golem,80,120,130,55,65,45
84,Ponyta,50,85,55,65,65,90
85,Rapidash,65,100,70,80,80,105
86,Slowpoke,90,65,65,40,40,15
87,Slowbro,95,75,110,100,80,30
88,Mega Slowbro,95,75,180,130,80,30
89,Magnemite,25,35,70,95,55,45
90,Magneton,50,60,95,120,70,70
91,Farfetch'd,52,65,55,58,62,60
92,Doduo,35,85,45,35,35,75
93,Dodrio,60,110,70,60,60,100
94,Seel,65,45,55,45,70,45
95,Dewgong,90,70,80,70,95,70
96,Grimer,80,80,50,40,50,25
97,Muk,105,105,75,65,100,50
98,Shellder,30,65,100,45,25,40
99,Cloyster,50,95,180,85,45,70
100,Gastly,30,35,30,100,35,80
101,Haunter,45,50,45,115,55,95
102,Gengar,60,65,60,130,75,110
103,Mega Gengar,60,65,80,170,95,130
104,Onix,35,45,160,30,45,70
105,Drowzee,60,48,45,43,90,42
106,Hypno,85,73,70,73,115,67
107,Krabby,30,105,90,25,25,50
108,Kingler,55,130,115,50,50,75
109,Voltorb,40,30,50,55,55,100
110,Electrode,60,50,70,80,80,140
111,Exeggcute,60,40,80,60,45,40
112,Exeggutor,95,95,85,125,65,55
113,Cubone,50,50,95,40,50,35
114,Marowak,60,80,110,50,80,45
115,Hitmonlee,50,120,53,35,110,87
116,Hitmonchan,50,105,79,35,110,76
117,Lickitung,90,55,75,60,75,30
118,Koffing,40,65,95,60,45,35
119,Weezing,65,90,120,85,70,60
120,Rhyhorn,80,85,95,30,30,25
121,Rhydon,105,130,120,45,45,40
122,Chansey,250,5,5,35,105,50
123,Tangela,65,55,115,100,40,60
124,Kangaskhan,105,95,80,40,80,90
125,Mega Kangaskhan,105,125,100,60,100,100
126,Horsea,30,40,70,70,25,60
127,Seadra,55,65,95,95,45,85
128,Goldeen,45,67,60,35,50,63
129,Seaking,80,92,65,65,80,68
130,Staryu,30,45,55,70,55,85
131,Starmie,60,75,85,100,85,115
132,Mr. Mime,40,45,65,100,120,90
133,Scyther,70,110,80,55,80,105
134,Jynx,65,50,35,115,95,95
135,Electabuzz,65,83,57,95,85,105
136,Magmar,65,95,57,100,85,93
137,Pinsir,65,125,100,55,70,85
138,Mega Pinsir,65,155,120,65,90,105
139,Tauros,75,100,95,40,70,110
140,Magikarp,20,10,55,15,20,80
141,Gyarados,95,125,79,60,100,81
142,Mega Gyarados,95,155,109,70,130,81
143,Lapras,130,85,80,85,95,60
144,Ditto,48,48,48,48,48,48
145,Eevee,55,55,50,45,65,55
146,Vaporeon,130,65,60,110,95,65
147,Jolteon,65,65,60,110,95,130
148,Flareon,65,130,60,95,110,65
149,Porygon,65,60,70,85,75,40
150,Omanyte,35,40,100,90,55,35
151,Omastar,70,60,125,115,70,55
